workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120,16773,0,7,10,11,14,139.775,23.41304166666667
w2-10vu,b,s1,10,120.005,127017,0,8,12,14,42,1058.4308987125537,174.2070747052206
w2-50vu,b,s1,50,120.014,163864,0,31,54,64,90,1365.374039695369,224.47697768593665
q-time-1h-10vu,b,s1,10,120.098,10385,0,88,234,296,394,86.47104864360772,0
q-time-24h-10vu,b,s1,10,120.155,10727,0,85,216,261,360,89.27635137946818,0
q-time-7d-10vu,b,s1,10,120.147,10973,0,89,214,258,348,91.32978767676263,0
q-id-10vu,b,s1,10,120.168,8365,0,123,256,296,368,69.61087810398774,0
q-conv-clustered-10vu,b,s2,10,120.421,3119,0,324,779,990,1377,25.90079803356557,0
q-conv-scattered-10vu,b,s2,10,120.515,677,0,1608,3309,3938,4984,5.617557980334398,0
w1-1vu,b,s2,1,120.019,2532,0,47,67,71,80,21.096659695548205,0.45474633183079344
w1-10vu,b,s2,10,120.053,20417,0,58,85,90,103,170.0665539386771,3.6666422330137523
w1-50vu,b,s2,50,120.107,37126,0,152,262,284,315,309.1077122898749,6.673238029423763
q-time-1h-10vu-s2,b,s2,10,120.033,48471,10,24,35,39,46,403.81395116343003,0
q-time-24h-10vu-s2,b,s2,10,120.01,49342,15,24,35,38,45,411.1490709107574,0
q-time-7d-10vu-s2,b,s2,10,120.03,46492,8,25,37,41,48,387.3364992085312,0
q-id-10vu-s2,b,s2,10,120.142,8582,0,112,299,357,458,71.43213863594747,0
m1-1tenant,b,s1,50,300.071,86231,0,169,276,307,370,287.3686560847266,0
m2-5pct,b,s1,50,300.071,116584,0,128,238,269,326,388.5213832726254,0
m3-50pct,b,s1,50,300.054,207697,0,37,177,211,272,692.1987375605725,0
m4-50pct-b,b,s1,50,300.047,210072,0,35,177,209,270,700.1303129176429,0
mixed-10vu,b,s1,10,900.064,94097,0,83,173,213,313,104.54478792619192,1.757358810040175
mixed-50vu,b,s1,50,900.368,123140,0,143,727,1383,3957,136.76630000177704,2.4355972224690348
mixed-100vu,b,s1,100,900.346,128176,0,331,1025,2812,7541,142.36304709522784,2.4461982393435413
