workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.007,20013,0,5,8,9,12,166.76527202579848,26.95626088478172
w2-10vu,a,s1,10,120.007,128827,0,7,11,13,64,1073.4957127500895,176.33900522469523
w2-50vu,a,s1,50,120.019,185954,0,30,47,57,84,1549.3713495363234,254.63909880935518
q-time-1h-10vu,a,s1,10,120.047,22751,0,49,93,108,144,189.51743900305715,0
q-time-24h-10vu,a,s1,10,120.05,25045,0,47,83,93,125,208.62140774677218,0
q-time-7d-10vu,a,s1,10,120.043,24747,0,47,80,90,116,206.15112917871096,0
q-id-10vu,a,s1,10,120.024,32863,0,33,57,67,89,273.8035726188096,0
q-conv-clustered-10vu,a,s2,10,120.127,15937,0,58,151,185,255,132.6679264445129,0
q-conv-scattered-10vu,a,s2,10,120.568,3608,0,284,606,721,934,29.925021564594253,0
w1-1vu,a,s2,1,120.018,3610,0,33,47,50,55,30.078821510106817,0.6435151393957573
w1-10vu,a,s2,10,120.053,23229,0,51,74,78,90,193.4895421188975,4.1850266132458165
w1-50vu,a,s2,50,120.125,39425,0,151,217,230,253,328.19979188345474,7.104306347554631
q-time-1h-10vu-s2,a,s2,10,120.01,87654,30,13,21,23,29,730.3891342388134,0
q-time-24h-10vu-s2,a,s2,10,120.015,87012,23,13,21,23,29,725.0093738282715,0
q-time-7d-10vu-s2,a,s2,10,120.01,84984,26,14,21,24,30,708.140988250979,0
q-id-10vu-s2,a,s2,10,120.046,27117,1,41,84,100,133,225.8884094430468,0
m1-1tenant,a,s1,50,300.095,84185,0,173,287,321,382,280.52783285292986,0
m2-5pct,a,s1,50,300.044,308141,0,43,85,101,135,1026.9860420471664,0
m3-50pct,a,s1,50,300.06,255774,0,44,121,149,208,852.4095180963807,0
mixed-10vu,a,s1,10,900.129,120423,0,65,140,165,235,133.78415760407674,2.411045972299526
mixed-50vu,a,s1,50,900.153,331304,0,76,253,370,1294,368.0529865478424,6.481118654273218
mixed-100vu,a,s1,100,900.175,474705,0,100,222,524,2143,527.3474602160692,9.238536284611326
w2-1vu,b,s1,1,120.002,19169,0,6,9,10,13,159.7390043499275,26.097856702388295
w2-10vu,b,s1,10,120.006,134573,0,8,12,13,32,1121.3855973867974,183.8458910387814
w2-50vu,b,s1,50,120.018,173504,0,31,48,58,89,1445.6498191937876,238.33474978753188
q-time-1h-10vu,b,s1,10,120.06,14578,0,62,181,218,282,121.42262202232217,0
q-time-24h-10vu,b,s1,10,120.143,15063,0,59,177,215,290,125.3755940837169,0
q-time-7d-10vu,b,s1,10,120.121,14576,0,57,188,226,296,121.34431115292081,0
q-id-10vu,b,s1,10,120.063,10552,0,100,199,233,298,87.88719255724078,0
q-conv-clustered-10vu,b,s2,10,120.744,2167,0,566,1142,1309,1850,17.947061551712714,0
q-conv-scattered-10vu,b,s2,10,121.44,466,0,2593,4382,4937,6827,3.837285902503294,0
w1-1vu,b,s2,1,120.004,3315,0,36,52,55,60,27.624079197360086,0.5946501783273891
w1-10vu,b,s2,10,120.054,21962,0,54,79,84,98,182.93434621087178,3.96436103753311
w1-50vu,b,s2,50,120.101,37485,0,159,228,242,267,312.1123054762242,6.76100448788936
q-time-1h-10vu-s2,b,s2,10,120.028,50362,12,21,37,43,53,419.5854300663178,0
q-time-24h-10vu-s2,b,s2,10,120.022,49463,18,22,37,43,53,412.11611204612484,0
q-time-7d-10vu-s2,b,s2,10,120.041,49674,20,22,38,43,53,413.8086153897419,0
q-id-10vu-s2,b,s2,10,120.065,9126,2,107,277,337,443,76.00882855120143,0
m1-1tenant,b,s1,50,300.102,69978,0,207,349,390,465,233.18071855569107,0
m2-5pct,b,s1,50,300.053,105290,0,139,273,308,373,350.9046735076803,0
m3-50pct,b,s1,50,300.064,197819,0,41,186,223,290,659.2560253812519,0
m4-50pct-b,b,s1,50,300.095,199950,0,40,184,220,284,666.2890084806477,0
mixed-10vu,b,s1,10,900.152,94085,0,84,171,212,322,104.52123641340573,1.8329766528319662
mixed-50vu,b,s1,50,900.375,140824,0,135,650,1074,3289,156.40594196862418,2.769587116479245
mixed-100vu,b,s1,100,900.493,143215,0,309,892,2297,6986,159.04065883910258,2.8084560346388034
